0,1,2,3
-352.82178,79.60508,1.1353912,7.591139
-451.22305,42.910275,2.775302,9.901751
-322.0207,10.9119425,-8.969045,-8.488589
-110.00497,46.728554,-97.975365,-51.27176
-303.0399,75.34637,-58.130436,-33.94574
-288.77902,47.44142,-26.762508,-1.4676199
-345.78534,33.320705,-40.60352,-12.401893
-420.11798,96.48196,-39.751972,10.311481
-327.5971,-24.443642,-35.79751,-16.5422
-304.8,99.77398,-31.59433,-13.064127
-371.30396,89.243866,19.609215,24.933308
-378.7218,85.91844,-4.604994,19.206991
-247.92311,149.21216,-46.500156,4.473803
-418.68604,77.76358,-44.44889,4.986245
-414.12363,61.96181,-74.58513,-14.429984
-421.39224,43.766033,50.02726,29.220522
-550.8883,36.267525,-14.2738085,8.027106
-461.22772,21.870216,-35.27939,0.13884404
-243.9706,107.81116,-23.771824,-7.7579303
-426.2242,95.07984,-15.0816555,15.380322
-448.9489,49.510056,33.14543,33.515266
-509.5001,51.23873,-2.8928566,9.117689
-453.50082,39.56135,55.168064,29.161833
-420.29654,76.574776,0.54344875,-1.9838865
-461.16595,123.39314,-2.8869994,25.334698
-318.63257,46.892735,-33.431084,-24.4989
-162.38391,110.0304,-130.23222,-34.697693
-365.58658,91.67805,-38.46034,2.2259514
-345.1482,51.459484,-72.11149,-3.5161006
-321.21548,147.72388,-30.048796,-23.395576
-466.82135,58.206535,-38.053493,9.490904
-456.07617,129.55656,-34.186867,12.573889
-518.63403,42.107723,10.388344,32.321667
-443.79892,63.861702,-15.698833,5.523729
-385.08655,93.61421,-21.434515,21.14235
-483.52734,12.962781,-6.973983,8.129029
-256.79907,57.412384,-84.7272,13.4544935
-442.32217,43.52589,49.011368,25.607224
-87.62829,104.953804,-74.1783,0.94454867
-203.03111,120.21086,-72.753914,22.339806
-248.00406,51.879757,-30.022173,16.988894
-379.9382,53.66752,-26.452835,7.0708036
-528.62604,73.42242,32.014557,22.504108
-437.5962,37.106678,48.702995,28.108088
-329.8783,79.74553,-28.419956,-2.8263779
-338.3082,79.30578,-67.15755,-15.09143
-509.96112,45.237156,3.8489587,12.144494
-341.60928,50.736176,-49.99452,-10.593895
-352.076,81.82117,-7.9450684,6.8878775
-422.87305,35.660496,43.4469,28.404373
-258.5615,37.63384,-49.101738,9.045301
-512.88495,80.90857,-16.352097,1.7095501
-241.06023,91.23338,-11.621855,25.463772
-419.24454,100.01235,19.10997,34.64001
-133.97762,74.05642,-78.379776,1.4972583
-215.46799,36.77986,-25.694336,8.762317
-113.504906,57.111855,-57.074142,-59.755554
-108.57351,91.92794,-45.884155,-6.386072
-376.45627,75.7999,-0.7170185,25.663826
-206.17728,45.277946,-29.309925,3.3378382
-474.82056,54.71781,0.6414671,-6.0770774
-417.2117,46.946304,48.45404,28.465385
-437.71542,37.298958,-2.799792,22.184494
-236.71301,155.44125,-62.21884,49.2715
-407.3424,106.96885,15.672137,-6.6034756
-312.07364,108.562706,-86.56379,-3.1549034
-443.44916,51.364906,57.706467,28.438686
-299.33997,68.596504,1.8522346,12.855057
-383.54837,74.396255,-25.030418,-11.919913
-315.4794,69.430336,6.2332263,2.460496
-270.82974,109.10453,-78.3479,1.8978117
-438.14713,56.60139,14.507593,16.84219
-407.4794,100.787926,14.122632,-6.4909387
-313.72238,90.59892,-39.89187,-0.5170045
-237.98735,17.683733,-55.95421,24.190126
-448.8126,41.628597,52.371502,26.743416
-346.6778,72.60334,-37.592255,9.023298
-478.4049,116.30383,10.105632,13.124223
-333.62558,51.286457,-51.42025,-9.169418
-333.65994,72.32671,-57.843548,-8.3772745
-225.17946,64.90766,-29.15586,5.7814484
-225.41939,128.39519,-53.311783,-18.32711
-346.38696,69.01023,-56.019543,-9.197795
-450.85873,49.39372,61.91002,29.721708
-522.4042,90.40397,15.187891,0.78745955
-289.032,106.00362,-3.0184083,16.00181
-474.57812,108.03126,31.909426,31.393541
-362.84326,34.50652,-41.142685,-10.500422
-230.38611,72.77084,-44.54258,-29.198996
-428.87628,34.628624,45.818733,28.136398
-456.15253,106.988434,11.026999,34.442135
-397.1302,55.11598,-46.739216,-3.989351
-139.74294,61.83747,-74.089966,-1.9342704
-330.95428,98.79405,-1.3445965,13.353807
-334.24918,24.749569,-22.859991,56.13124
-131.6056,63.267387,-33.95326,51.06303
-292.7349,124.96938,-9.651127,41.068626
-277.7213,58.04297,-52.09293,-6.147928
-449.6272,65.02973,-8.280966,-16.012436
-306.0574,121.68014,25.178083,25.545382
-217.2787,127.96952,-67.09779,-0.100817375
-335.6458,68.8671,-61.954056,-6.1248155
-312.21884,30.899866,36.60309,40.107224
-576.4979,41.050163,11.412666,7.994556
-164.72752,40.66257,-139.2233,-32.95492
-425.85434,87.78946,34.28516,23.875751
-376.21954,54.958725,-7.1697245,30.097116
-169.12778,57.10359,-26.39395,9.92631
-253.92183,120.28549,-69.93647,20.516315
-475.24826,48.95393,18.3244,48.928394
-254.82314,60.690617,-53.821686,-10.94239
-345.25662,64.52307,2.389524,-9.606491
-299.2496,110.489265,-29.956469,-2.9424868
-92.767914,79.03789,-85.88321,-23.790434
-381.18726,89.493835,-26.536901,47.84713
-371.3849,19.178036,-3.5618412,0.12307342
-259.52304,68.52908,-27.346905,0.0016097581
-331.58716,57.37905,-48.52688,-13.033937
-322.4235,57.70911,-84.28517,7.3703923
-448.42264,104.660065,35.544098,36.903065
-392.76685,60.90265,4.275257,2.8690732
-394.10504,49.183254,37.60654,22.8994
-463.7126,94.091965,7.7559743,-0.29842243
-446.25812,127.99551,9.985757,15.031533
-407.0673,63.550335,-28.700613,-0.7878492
-266.90643,49.610485,-20.810537,-25.324677
-553.4512,82.88604,-13.0813265,37.178474
-149.98112,62.917248,-84.15858,16.099932
-384.91797,111.57943,-10.920682,-14.096727
-415.35178,39.207176,42.56806,26.492165
-469.03564,106.71763,33.075455,23.416458
-431.37677,92.028854,-1.5217121,14.939099
-409.44806,105.65257,19.750805,-3.7972443
-369.64813,-31.409554,-18.963282,18.284128
-154.67268,97.70131,-77.1938,-27.280262
-209.42964,14.987934,-33.379684,4.8837805
-209.74384,54.9122,-72.2025,-18.932724
-376.85413,66.217834,-52.986103,-11.664239
-442.66455,51.58343,57.460148,28.097084
-374.38657,80.02413,-33.38548,-5.3397045
-130.19217,133.49377,-81.60591,11.90392
-316.37155,68.24594,-11.911854,-21.698141
-362.65765,-41.257282,-54.138752,28.487324
-419.20004,35.743202,42.14804,27.392132
-454.6028,39.62712,55.398216,28.507895
-223.8791,47.72426,-15.709417,3.3535392
-501.2945,27.931318,-4.3478994,10.002297
-266.62375,112.09975,-47.511623,24.717865
-260.82755,-58.49529,-112.7424,5.6836095
-353.25217,52.54215,-33.11358,-0.34172973
-300.69543,43.092342,-1.6880994,-10.239899
-355.4494,68.02956,-5.6668496,31.719755
-361.0869,144.1469,-41.111298,-0.75634485
-409.35623,126.13491,-27.347677,-2.9045334
-309.32227,48.462585,-61.578125,-21.046232
-467.46542,110.15742,-40.032776,-16.19401
-452.19928,49.16405,-27.274385,11.35498
-177.45784,120.181076,-69.06901,21.617987
-416.1666,43.559464,46.94444,26.143932
-441.57047,98.233215,-0.89054644,-6.7396374
-95.22952,58.238564,-71.05698,-12.797901
-561.7002,56.563877,-15.25666,4.4882746
-323.75488,62.01911,-9.689905,15.548396
-400.80826,67.41393,-47.444912,-11.82504
-513.348,5.6515055,29.787909,38.80655
-171.14586,117.797775,-0.7082267,6.9807777
-454.8479,42.640068,58.70802,29.935976
-360.66122,16.221394,-29.984735,21.545452
-183.08737,38.601765,-37.64982,-3.8403032
-452.5048,43.547432,56.82002,28.914185
-420.05618,43.9604,49.117493,29.136656
-356.26846,68.473305,-32.24398,14.976308
-343.6274,62.489677,-67.4435,-13.277586
-273.434,98.295,-58.5244,-5.1914487
-474.56833,55.332817,-12.770081,0.8796575
-107.52044,76.819016,-114.15612,-27.43943
-151.68939,77.33161,-99.68992,-38.906883
-482.31522,70.189476,-17.933537,17.17808
-421.16003,43.80474,49.975872,29.275486
-449.53088,42.235733,53.37298,26.98424
-451.26514,40.64473,54.269405,28.45956
-345.58704,47.8153,-15.513198,11.5293255
-501.19925,21.194288,10.05692,20.474865
-163.49364,19.769846,-56.8302,46.37278
-418.79196,73.18216,-21.680893,16.406239
-403.50986,56.7094,-28.4741,9.656355
-428.1949,59.638474,1.5880839,-24.134453
-437.8106,108.03857,35.98768,34.79005
-445.63763,43.446594,50.600937,26.70046
-169.19019,86.083244,-34.42082,10.407083
-355.27707,140.42429,-40.15037,39.461655
-295.19534,122.478905,-60.64099,8.01594
-423.05515,128.86761,3.9394116,19.430536
-446.47253,44.56435,55.110306,28.942406
-268.7361,113.26967,-23.745564,2.675926
-389.1809,38.13605,-29.948135,-7.2440643
-341.71225,79.638664,-37.37586,-2.554521
