0,1,2,3,4
-352.82178,79.60508,1.1353912,7.591139,2.7399166
-451.22305,42.910275,2.775302,9.901751,12.901083
-322.0207,10.9119425,-8.969045,-8.488589,-36.143864
-110.00497,46.728554,-97.975365,-51.27176,-10.523747
-303.0399,75.34637,-58.130436,-33.94574,-32.989456
-288.77902,47.44142,-26.762508,-1.4676199,-23.89939
-345.78534,33.320705,-40.60352,-12.401893,-2.2462204
-420.11798,96.48196,-39.751972,10.311481,6.700729
-327.5971,-24.443642,-35.79751,-16.5422,-23.597982
-304.8,99.77398,-31.59433,-13.064127,-12.232465
-371.30396,89.243866,19.609215,24.933308,6.4279804
-378.7218,85.91844,-4.604994,19.206991,2.007838
-247.92311,149.21216,-46.500156,4.473803,-18.069284
-418.68604,77.76358,-44.44889,4.986245,-2.783068
-414.12363,61.96181,-74.58513,-14.429984,-4.916112
-421.39224,43.766033,50.02726,29.220522,31.954641
-550.8883,36.267525,-14.2738085,8.027106,-13.223044
-461.22772,21.870216,-35.27939,0.13884404,-18.563295
-243.9706,107.81116,-23.771824,-7.7579303,-23.344183
-426.2242,95.07984,-15.0816555,15.380322,1.4458833
-448.9489,49.510056,33.14543,33.515266,8.159082
-509.5001,51.23873,-2.8928566,9.117689,-8.96721
-453.50082,39.56135,55.168064,29.161833,36.23514
-420.29654,76.574776,0.54344875,-1.9838865,-1.9635445
-461.16595,123.39314,-2.8869994,25.334698,19.164131
-318.63257,46.892735,-33.431084,-24.4989,0.98095036
-162.38391,110.0304,-130.23222,-34.697693,-54.05223
-365.58658,91.67805,-38.46034,2.2259514,-10.56036
-345.1482,51.459484,-72.11149,-3.5161006,-2.291517
-321.21548,147.72388,-30.048796,-23.395576,2.5270069
-466.82135,58.206535,-38.053493,9.490904,-18.209114
-456.07617,129.55656,-34.186867,12.573889,28.78371
-518.63403,42.107723,10.388344,32.321667,27.653849
-443.79892,63.861702,-15.698833,5.523729,0.34379306
-385.08655,93.61421,-21.434515,21.14235,-9.902598
-483.52734,12.962781,-6.973983,8.129029,-4.2012615
-256.79907,57.412384,-84.7272,13.4544935,-14.2711115
-442.32217,43.52589,49.011368,25.607224,34.96688
-87.62829,104.953804,-74.1783,0.94454867,-20.918568
-203.03111,120.21086,-72.753914,22.339806,-8.481887
-248.00406,51.879757,-30.022173,16.988894,-16.27657
-379.9382,53.66752,-26.452835,7.0708036,20.734509
-528.62604,73.42242,32.014557,22.504108,16.639894
-437.5962,37.106678,48.702995,28.108088,36.512764
-329.8783,79.74553,-28.419956,-2.8263779,9.094402
-338.3082,79.30578,-67.15755,-15.09143,-17.117374
-509.96112,45.237156,3.8489587,12.144494,20.081411
-341.60928,50.736176,-49.99452,-10.593895,-12.748911
-352.076,81.82117,-7.9450684,6.8878775,8.289349
-422.87305,35.660496,43.4469,28.404373,35.636898
-258.5615,37.63384,-49.101738,9.045301,-28.01676
-512.88495,80.90857,-16.352097,1.7095501,1.3638885
-241.06023,91.23338,-11.621855,25.463772,-5.1542025
-419.24454,100.01235,19.10997,34.64001,-2.9349942
-133.97762,74.05642,-78.379776,1.4972583,-7.726148
-215.46799,36.77986,-25.694336,8.762317,-26.830902
-113.504906,57.111855,-57.074142,-59.755554,-35.664913
-108.57351,91.92794,-45.884155,-6.386072,-0.16888234
-376.45627,75.7999,-0.7170185,25.663826,16.174047
-206.17728,45.277946,-29.309925,3.3378382,-29.100372
-474.82056,54.71781,0.6414671,-6.0770774,-27.22547
-417.2117,46.946304,48.45404,28.465385,32.868515
-437.71542,37.298958,-2.799792,22.184494,13.787238
-236.71301,155.44125,-62.21884,49.2715,11.075039
-407.3424,106.96885,15.672137,-6.6034756,16.506302
-312.07364,108.562706,-86.56379,-3.1549034,-20.75201
-443.44916,51.364906,57.706467,28.438686,32.903393
-299.33997,68.596504,1.8522346,12.855057,5.0413632
-383.54837,74.396255,-25.030418,-11.919913,5.250586
-315.4794,69.430336,6.2332263,2.460496,-9.180074
-270.82974,109.10453,-78.3479,1.8978117,-39.9655
-438.14713,56.60139,14.507593,16.84219,22.99729
-407.4794,100.787926,14.122632,-6.4909387,17.238024
-313.72238,90.59892,-39.89187,-0.5170045,-35.121788
-237.98735,17.683733,-55.95421,24.190126,-26.167494
-448.8126,41.628597,52.371502,26.743416,36.052177
-346.6778,72.60334,-37.592255,9.023298,-7.7337885
-478.4049,116.30383,10.105632,13.124223,8.595672
-333.62558,51.286457,-51.42025,-9.169418,-13.047994
-333.65994,72.32671,-57.843548,-8.3772745,-9.689971
-225.17946,64.90766,-29.15586,5.7814484,3.2073734
-225.41939,128.39519,-53.311783,-18.32711,-8.895308
-346.38696,69.01023,-56.019543,-9.197795,-9.280036
-450.85873,49.39372,61.91002,29.721708,32.555332
-522.4042,90.40397,15.187891,0.78745955,-10.176191
-289.032,106.00362,-3.0184083,16.00181,-3.8813322
-474.57812,108.03126,31.909426,31.393541,14.047143
-362.84326,34.50652,-41.142685,-10.500422,-11.617762
-230.38611,72.77084,-44.54258,-29.198996,-29.06443
-428.87628,34.628624,45.818733,28.136398,36.625256
-456.15253,106.988434,11.026999,34.442135,23.8665
-397.1302,55.11598,-46.739216,-3.989351,-8.445745
-139.74294,61.83747,-74.089966,-1.9342704,-57.06338
-330.95428,98.79405,-1.3445965,13.353807,-6.856306
-334.24918,24.749569,-22.859991,56.13124,-30.172853
-131.6056,63.267387,-33.95326,51.06303,7.030785
-292.7349,124.96938,-9.651127,41.068626,-0.050603084
-277.7213,58.04297,-52.09293,-6.147928,-2.499994
-449.6272,65.02973,-8.280966,-16.012436,-0.46269995
-306.0574,121.68014,25.178083,25.545382,29.814217
-217.2787,127.96952,-67.09779,-0.100817375,-19.43408
-335.6458,68.8671,-61.954056,-6.1248155,-4.4220653
-312.21884,30.899866,36.60309,40.107224,26.445332
-576.4979,41.050163,11.412666,7.994556,-0.7310057
-164.72752,40.66257,-139.2233,-32.95492,-35.487797
-425.85434,87.78946,34.28516,23.875751,0.66969305
-376.21954,54.958725,-7.1697245,30.097116,-11.883389
-169.12778,57.10359,-26.39395,9.92631,4.7656875
-253.92183,120.28549,-69.93647,20.516315,-1.0942707
-475.24826,48.95393,18.3244,48.928394,5.255871
-254.82314,60.690617,-53.821686,-10.94239,-10.901151
-345.25662,64.52307,2.389524,-9.606491,-17.942072
-299.2496,110.489265,-29.956469,-2.9424868,-19.087902
-92.767914,79.03789,-85.88321,-23.790434,-51.74387
-381.18726,89.493835,-26.536901,47.84713,35.02894
-371.3849,19.178036,-3.5618412,0.12307342,-18.662642
-259.52304,68.52908,-27.346905,0.0016097581,-15.3490505
-331.58716,57.37905,-48.52688,-13.033937,-15.851147
-322.4235,57.70911,-84.28517,7.3703923,-29.709717
-448.42264,104.660065,35.544098,36.903065,13.890858
-392.76685,60.90265,4.275257,2.8690732,-14.895779
-394.10504,49.183254,37.60654,22.8994,27.101679
-463.7126,94.091965,7.7559743,-0.29842243,28.785444
-446.25812,127.99551,9.985757,15.031533,5.7614374
-407.0673,63.550335,-28.700613,-0.7878492,-20.748987
-266.90643,49.610485,-20.810537,-25.324677,-19.563662
-553.4512,82.88604,-13.0813265,37.178474,4.294839
-149.98112,62.917248,-84.15858,16.099932,-21.49002
-384.91797,111.57943,-10.920682,-14.096727,-24.633173
-415.35178,39.207176,42.56806,26.492165,35.633625
-469.03564,106.71763,33.075455,23.416458,14.401827
-431.37677,92.028854,-1.5217121,14.939099,18.537672
-409.44806,105.65257,19.750805,-3.7972443,18.186766
-369.64813,-31.409554,-18.963282,18.284128,-35.62334
-154.67268,97.70131,-77.1938,-27.280262,-30.63569
-209.42964,14.987934,-33.379684,4.8837805,-11.575124
-209.74384,54.9122,-72.2025,-18.932724,-14.5842085
-376.85413,66.217834,-52.986103,-11.664239,-14.493364
-442.66455,51.58343,57.460148,28.097084,32.686512
-374.38657,80.02413,-33.38548,-5.3397045,8.698627
-130.19217,133.49377,-81.60591,11.90392,1.48267
-316.37155,68.24594,-11.911854,-21.698141,-28.750446
-362.65765,-41.257282,-54.138752,28.487324,29.254557
-419.20004,35.743202,42.14804,27.392132,35.745716
-454.6028,39.62712,55.398216,28.507895,36.2918
-223.8791,47.72426,-15.709417,3.3535392,-23.71569
-501.2945,27.931318,-4.3478994,10.002297,0.76369673
-266.62375,112.09975,-47.511623,24.717865,-44.86799
-260.82755,-58.49529,-112.7424,5.6836095,-7.6150465
-353.25217,52.54215,-33.11358,-0.34172973,-5.9421015
-300.69543,43.092342,-1.6880994,-10.239899,-4.445045
-355.4494,68.02956,-5.6668496,31.719755,-2.4955368
-361.0869,144.1469,-41.111298,-0.75634485,24.179686
-409.35623,126.13491,-27.347677,-2.9045334,-1.5137194
-309.32227,48.462585,-61.578125,-21.046232,-22.678581
-467.46542,110.15742,-40.032776,-16.19401,-25.373735
-452.19928,49.16405,-27.274385,11.35498,12.1256695
-177.45784,120.181076,-69.06901,21.617987,-10.032493
-416.1666,43.559464,46.94444,26.143932,31.030632
-441.57047,98.233215,-0.89054644,-6.7396374,-12.325294
-95.22952,58.238564,-71.05698,-12.797901,-22.071735
-561.7002,56.563877,-15.25666,4.4882746,-21.446815
-323.75488,62.01911,-9.689905,15.548396,-5.2272983
-400.80826,67.41393,-47.444912,-11.82504,-10.073404
-513.348,5.6515055,29.787909,38.80655,17.871775
-171.14586,117.797775,-0.7082267,6.9807777,-3.9547052
-454.8479,42.640068,58.70802,29.935976,35.197746
-360.66122,16.221394,-29.984735,21.545452,-14.127678
-183.08737,38.601765,-37.64982,-3.8403032,-20.005598
-452.5048,43.547432,56.82002,28.914185,35.5433
-420.05618,43.9604,49.117493,29.136656,31.749384
-356.26846,68.473305,-32.24398,14.976308,14.834617
-343.6274,62.489677,-67.4435,-13.277586,-11.454616
-273.434,98.295,-58.5244,-5.1914487,-26.677263
-474.56833,55.332817,-12.770081,0.8796575,-0.008264722
-107.52044,76.819016,-114.15612,-27.43943,-33.48623
-151.68939,77.33161,-99.68992,-38.906883,-46.360245
-482.31522,70.189476,-17.933537,17.17808,11.637264
-421.16003,43.80474,49.975872,29.275486,32.021976
-449.53088,42.235733,53.37298,26.98424,35.986702
-451.26514,40.64473,54.269405,28.45956,36.294643
-345.58704,47.8153,-15.513198,11.5293255,-21.146254
-501.19925,21.194288,10.05692,20.474865,0.0026549378
-163.49364,19.769846,-56.8302,46.37278,-7.9085927
-418.79196,73.18216,-21.680893,16.406239,25.67187
-403.50986,56.7094,-28.4741,9.656355,2.451103
-428.1949,59.638474,1.5880839,-24.134453,-20.105808
-437.8106,108.03857,35.98768,34.79005,20.547411
-445.63763,43.446594,50.600937,26.70046,37.0348
-169.19019,86.083244,-34.42082,10.407083,-9.886616
-355.27707,140.42429,-40.15037,39.461655,-3.717485
-295.19534,122.478905,-60.64099,8.01594,44.324036
-423.05515,128.86761,3.9394116,19.430536,7.895746
-446.47253,44.56435,55.110306,28.942406,33.342052
-268.7361,113.26967,-23.745564,2.675926,-16.045135
-389.1809,38.13605,-29.948135,-7.2440643,-8.929266
-341.71225,79.638664,-37.37586,-2.554521,9.562383
-186.64746,116.37766,-41.630302,-19.97683,-31.794962
-343.9629,34.67814,-28.479216,-13.274553,-6.889995
-284.64743,24.59207,-59.50328,-4.7087755,-6.3260655
-319.3522,45.066467,-38.986652,-28.315516,-29.693054
-201.12694,60.13938,-42.123688,13.353075,-14.923053
-216.41095,55.712578,-37.756306,10.126112,12.665208
-86.92278,79.446014,-63.434757,-20.902468,-36.347256
-347.0178,119.125046,10.476257,17.628876,15.976074
-415.26517,71.37718,-23.30719,7.9300733,-6.185902
-463.78107,138.4164,20.779991,11.15193,8.460554
-378.33344,22.19411,-54.541523,67.28096,-39.939373
-355.38037,93.3149,2.548309,-25.198536,-31.325554
-329.27304,38.862312,-0.33287773,30.343458,-11.556847
-367.84412,66.210594,-42.934402,3.4911358,3.5809977
-282.41266,103.49767,-20.515871,-0.13406637,2.2883568
-393.40915,50.465458,37.45494,22.088509,27.028513
-465.18106,107.64514,12.390796,27.381325,10.053626
-416.55057,46.81932,48.097538,28.519968,32.963776
-414.41736,44.69702,-23.295572,11.653373,-4.5815063
-293.4023,34.009377,27.216486,33.434814,22.989819
-172.3511,93.28706,-69.21058,-30.514355,-45.39743
-505.0171,62.5253,10.86953,21.675783,13.591323
-434.36334,57.441418,-27.754236,6.193605,6.931564
-418.89606,38.92238,49.226715,28.232315,33.328995
-484.92902,41.060127,14.335769,5.882648,9.179206
-205.42715,3.9726274,-60.42612,4.38878,-23.701801
-473.50742,111.383896,1.8525274,12.930156,7.5668197
-348.65646,86.91555,-26.016481,16.482847,-10.384423
-226.00703,125.593124,-52.66895,14.487738,-35.2567
-250.45218,2.6954608,-58.28126,7.3266,-0.66304994
-320.69455,136.24403,-77.66238,-30.166462,30.2425
-447.82098,43.107067,52.801006,25.873007,35.38006
-391.7265,55.93469,-16.68557,-2.6774418,-3.911288
-387.67535,58.82025,-15.913961,-1.4760808,-6.4407506
-367.44827,72.14983,-49.652805,18.487295,-48.066772
-205.78905,-20.685152,-17.230635,4.270619,1.1819928
-437.2323,133.31825,24.762579,19.049767,0.35078916
-364.16196,28.557053,41.443466,31.277874,27.880949
-647.10223,53.890705,-1.3062464,13.131639,6.69341
-587.54895,186.34496,-102.546844,-23.9942,22.531775
-309.3507,82.38557,-29.659412,-30.68215,-29.720953
-199.17418,25.611238,-32.90083,6.5383153,-22.195969
-603.01245,84.09603,25.738089,23.596285,22.910265
-391.8929,75.18915,-34.582344,15.8677025,-40.679214
-229.37708,125.29685,-27.804836,-0.18071187,-16.302687
-451.63095,48.965267,62.156273,30.069696,32.925854
-226.67441,52.39663,-40.94736,31.561417,-7.4919195
-182.10574,88.62924,-10.395916,5.7595425,-17.784086
-455.34024,39.656895,55.702538,28.545282,36.223774
-470.23843,40.12238,-57.90345,-6.0618353,-10.47508
-216.08354,24.698772,-34.120674,6.452224,-12.523782
-415.47635,61.691322,1.5951549,12.165282,-7.853072
-302.241,-25.855207,-51.388638,29.184662,-21.608633
-414.9445,56.82377,-33.63847,-11.312223,-29.118216
-339.6778,127.3905,-11.300571,8.1272955,-4.9027
-460.5327,81.27307,-8.501891,23.561932,22.998241
-422.57333,47.887127,49.78903,28.86913,33.590694
-314.21222,80.91855,-25.696148,10.288631,3.373774
-116.19892,69.80672,-39.988407,12.551714,7.505387
-340.5415,86.6491,-23.377392,-1.3281779,-1.3447356
-430.37643,56.100792,-72.914764,-8.779903,-0.30090594
-223.87762,94.1873,-43.335167,-18.647953,-37.760784
-250.95782,21.697868,-62.747574,20.020233,0.15176232
-418.8826,47.411003,48.720844,28.40285,33.499573
-312.92572,79.30185,-13.456778,6.680498,4.086004
-275.84393,8.796551,-72.455956,-20.850664,-26.25363
-316.19565,52.148865,-29.780703,13.640869,-28.117722
-128.28865,99.47274,-37.88868,-6.408155,-20.521297
-415.33365,98.50144,5.8505635,22.855307,7.8195715
-411.14352,76.1935,3.0827267,14.799234,18.31847
-176.4583,112.54951,-40.346416,11.522332,7.372248
-452.78415,33.31793,-89.221504,-3.6438024,-8.664177
-319.13788,59.879562,-51.24432,-8.384053,-8.780889
-256.06537,113.35842,-44.05612,20.862036,8.398069
-418.87094,37.67033,44.657356,27.211061,33.15719
-445.42017,66.15827,-32.194042,0.4239405,-5.7495017
-359.89102,92.82879,-4.9636183,-6.6438403,-40.056435
-451.31073,41.52666,53.924347,27.48109,36.231396
-444.4638,44.140114,49.566235,26.407017,37.436462
-574.0223,15.451782,-4.7482195,-0.9584293,-1.9331851
-140.83257,88.32056,-67.20627,-9.135936,-15.876712
-304.07315,122.85578,31.94665,25.120918,23.749012
-420.65598,43.9294,49.600277,28.913027,31.601751
-440.14844,45.447887,-17.905973,16.460342,0.17280285
-360.8351,-30.704395,-42.991714,-32.154686,-24.424534
-178.66922,79.60462,-29.93356,16.26763,-0.48963365
-211.34465,92.81143,-40.697548,14.480248,-11.722372
-346.85632,101.69732,31.716957,9.385225,13.222817
-201.79768,84.215034,-33.400547,3.8970544,10.57614
-417.98727,82.877235,-41.348103,-2.7315733,-21.442436
-447.17358,44.883507,52.399296,27.19353,36.783577
-325.33627,50.392258,-43.46091,17.642254,-6.3677883
-320.35626,69.691025,-55.10161,-7.82906,-8.383572
-245.30016,56.729435,-66.33594,-12.497606,-21.791399
-362.9802,71.876526,-13.854593,14.827419,-0.9258356
-231.70958,27.071384,-20.998743,5.6517863,-8.438771
-231.0844,69.5913,-65.68208,-14.900424,-22.562277
-394.09866,82.43498,-14.125804,21.305466,11.950503
-123.89294,106.53361,-22.020918,8.885607,-20.94956
-392.07135,50.011543,36.425385,21.964235,26.842344
-140.49136,81.55657,-49.01798,-31.990694,-20.919296
-504.17807,98.41223,-32.094822,26.47486,-34.06498
-361.66452,67.92588,-2.9894955,22.402548,11.795356
-393.79236,125.48936,-24.707102,-26.754627,-2.0290174
-465.1551,50.238144,-46.750843,-4.018796,-1.7894813
-467.1496,34.257927,64.430824,37.751534,40.99185
-438.97372,146.30588,17.578726,17.871513,12.076876
-261.46338,81.01356,-71.80915,1.1147221,-6.9619145
-277.49466,78.24939,-6.49069,8.820059,-11.128365
-327.0636,58.56741,-50.03273,-13.7438,-15.380983
-200.50124,26.437893,-105.45406,-5.4116173,-6.529561
-73.47577,86.54882,-49.346737,22.47428,-1.1538166
-256.97946,73.984474,-31.594173,39.765587,-5.696926
-410.5765,61.54081,-76.42746,-14.974494,-5.856781
-397.93674,50.43806,-45.890717,-4.4180336,-5.7320356
-420.66202,15.0012,-46.256332,-21.982962,-25.531803
-304.96545,44.358105,-18.660797,10.749843,0.37804553
-450.12988,48.625126,59.21102,28.256767,32.97582
-309.2319,108.9951,-59.9874,-2.9280803,-4.0543475
-430.53586,103.71954,45.908062,36.179054,20.482357
-188.60939,50.106895,-47.623425,11.603785,3.447571
-155.0238,77.64482,-30.258512,-7.740043,-33.093018
-360.00485,74.14358,-25.966787,15.180192,10.124762
-219.91222,102.69957,-10.621511,30.339474,21.86315
-439.0438,111.28973,35.905025,39.791042,13.664901
-584.57385,89.39582,-15.485819,29.989653,4.273388
-287.43478,76.77887,-27.760681,12.025004,-21.291264
-439.93063,-24.758343,-127.24695,-0.099731624,-31.118275
-457.73935,130.2083,13.684261,11.299172,8.076454
-381.5856,57.58412,-37.89745,-19.883732,-2.2338607
-336.84012,66.301895,-63.059074,-6.6949816,-4.9259105
-348.22083,113.3624,-97.34846,60.083855,-9.426643
-401.52383,3.9137075,-31.476252,-17.993792,-1.9037727
-232.02753,22.723083,-30.693134,18.787317,-13.634156
-386.89777,62.917248,-28.399477,10.8906765,-1.3068326
-269.54892,64.53139,-18.778128,18.970713,5.592153
-377.18973,103.81047,0.719296,24.392895,6.2475214
-534.6099,61.15564,-6.669792,18.497763,-19.561237
-360.4133,64.5829,-59.34197,-11.812452,-14.0134735
-274.27243,23.473375,-47.194447,5.9759245,-16.367634
-501.14218,88.31557,0.898055,15.233235,24.098997
-250.10748,71.86731,-53.853996,-23.360487,-38.440826
-267.75168,73.361336,15.315645,7.3228755,12.265124
-306.27878,103.8172,-44.626266,8.078978,-11.353177
-495.52682,58.738983,-10.393932,16.03237,6.319577
-449.71677,50.154354,61.468193,29.210913,32.429287
-367.06757,41.709843,-10.658737,2.059729,1.3012189
-325.40906,69.51384,-63.68054,-8.960216,-5.5876303
-200.47096,-40.103554,-83.640465,4.005296,-30.93886
-217.32217,101.07104,-7.373435,-2.1991234,-9.451887
-430.6739,11.393692,-44.910084,10.555917,-16.015917
-161.33337,-37.698147,-107.18819,8.04413,-3.951708
-453.82382,39.68299,55.32725,29.129831,36.69905
-128.60344,72.381836,-13.459834,17.39541,-11.234511
-160.15169,-42.92818,-115.134056,4.4952674,-20.844324
-201.10829,106.78014,-15.653109,22.842016,6.4863477
-274.55322,123.38163,-61.741856,-19.233519,-10.707713
-479.5652,80.30597,20.788132,26.261648,25.025965
-295.51144,45.225014,-49.93212,-7.2962093,0.2746349
-326.6327,69.6662,-4.892202,-1.120024,-24.039125
-265.2867,68.32758,-16.08143,4.750637,-4.394787
-690.52155,54.014923,6.182271,24.486403,20.911724
-496.76263,92.46266,17.161032,29.70903,10.414195
-293.74847,48.720264,-64.06339,15.98257,-43.201244
-386.71985,41.03756,-22.439919,-9.014658,-20.457874
-483.82376,33.61321,-3.7531912,21.740768,-3.343859
-452.40283,48.319332,61.581985,29.789051,32.918465
-329.95047,67.60254,-36.851856,-5.7053976,-22.684576
-461.50534,52.36733,-51.36483,-4.839531,1.5481164
-539.2505,106.912575,13.751364,19.67795,4.257755
-434.41812,97.32803,8.636826,23.832273,21.42483
-307.79172,96.93639,-4.9436803,-4.9259324,-16.031937
-495.66028,69.6013,-26.6818,-14.533718,-5.942883
-422.07428,37.91297,47.639427,27.724428,33.075016
-216.86055,127.041046,-63.28544,15.107495,-15.041033
-421.6189,90.44028,46.50244,27.27835,16.309628
-310.06134,81.80002,-83.13501,-9.815399,6.8770432
-249.86774,122.47494,-29.0664,25.12478,15.584436
-256.07678,129.21529,-51.94769,19.278765,-6.451397
-455.46725,42.26707,58.943222,30.023102,35.325523
-477.19888,119.37665,19.545097,14.006742,11.418568
-309.45944,117.46686,5.642587,22.540518,-24.991642
-263.1848,-5.3581705,-131.84192,-18.249945,-19.725424
-192.37175,-10.477081,-31.302116,1.8420731,-10.959086
-300.16718,88.64953,-17.14623,-6.3145423,-46.112843
-416.96207,46.794006,48.226974,28.380526,33.22963
-594.91034,42.306976,9.742882,16.146566,13.2782755
-457.9517,40.049965,-21.932009,9.877601,-8.170205
